id,host_listings_count,host_total_listings_count,zipcode,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,guests_included,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month
958,1,1,94117,37.769310377340766,-122.43385634488999,3,1,1,2,$170.00,2,1,30,0,3,10,119,156,97,10,10,10,10,10,10,1,1.4
5858,2,2,94110,37.745112331410034,-122.42101788836888,5,1,2,3,$235.00,2,30,60,30,60,90,365,112,98,10,10,10,10,10,9,1,0.98
7918,10,10,94117,37.766689597862175,-122.45250461761628,2,4,1,1,$65.00,1,32,60,30,60,90,365,17,85,8,8,9,9,9,8,9,0.15
8142,10,10,94117,37.76487219421756,-122.45182799146508,2,4,1,1,$65.00,1,32,90,26,56,86,361,7,91,9,9,9,9,9,9,9,0.14
8567,1,1,94115,37.78470745496073,-122.44555431261594,6,1,2,3,$255.00,1,2,365,1,1,7,17,31,90,9,8,10,10,9,9,1,0.28
8739,2,2,94110,37.75918889708064,-122.42236687240562,3,1,1,2,$139.00,2,1,29,0,14,44,130,605,98,10,10,10,10,10,9,2,5.46
9225,1,1,94107,37.76258885144137,-122.40543055237004,2,1,1,1,$135.00,1,1,365,6,27,57,318,419,93,9,9,10,10,9,9,1,3.88
10251,1,1,94110,37.75874294929672,-122.4132720164374,6,1,2,3,$265.00,4,3,30,7,14,34,295,296,96,10,10,10,9,9,9,1,2.7
10578,1,1,94109,37.79142746368994,-122.41543567951581,2,1,0,1,$120.00,2,30,180,7,37,67,342,18,99,10,10,10,10,10,10,1,0.22
10819,47,47,94111,37.80060135801387,-122.42504538133501,4,2,3,3,$218.00,6,30,1125,0,0,0,251,22,88,9,9,9,8,9,8,42,0.33
10820,47,47,94117,37.771873721790115,-122.43859113023433,3,1,3,3,$177.00,6,30,1125,1,1,7,282,35,88,9,9,10,9,9,9,42,0.32
