id,host_total_listings_count,longitude,accommodates,price,maximum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month
958,1,-122.43385634488999,3,$170.00,30,119,156,97,10,10,10,10,10,10,1,1.4
5858,2,-122.42101788836888,5,$235.00,60,365,112,98,10,10,10,10,10,9,1,0.98
7918,10,-122.45250461761628,2,$65.00,60,365,17,85,8,8,9,9,9,8,9,0.15
8142,10,-122.45182799146508,2,$65.00,90,361,7,91,9,9,9,9,9,9,9,0.14
8339,2,-122.43637374831292,5,$675.00,1125,82,27,97,10,10,10,10,10,9,2,0.25
8567,1,-122.44555431261594,6,$255.00,365,17,31,90,9,8,10,10,9,9,1,0.28
8739,2,-122.42236687240562,3,$139.00,29,130,605,98,10,10,10,10,10,9,2,5.46
9225,1,-122.40543055237004,2,$135.00,365,318,419,93,9,9,10,10,9,9,1,3.88
10251,1,-122.4132720164374,6,$265.00,30,295,296,96,10,10,10,9,9,9,1,2.7
10578,1,-122.41543567951581,2,$120.00,180,342,18,99,10,10,10,10,10,10,1,0.22
10819,47,-122.42504538133501,4,$218.00,1125,251,22,88,9,9,9,8,9,8,42,0.33
10820,47,-122.43859113023433,3,$177.00,1125,282,35,88,9,9,10,9,9,9,42,0.32
10824,47,-122.42436191545026,5,$194.00,1125,258,14,91,10,10,10,9,10,9,42,0.18
10832,47,-122.40797710199777,2,$139.00,365,338,18,91,10,9,10,10,10,9,42,0.27
12041,10,-122.44594218370484,2,$85.00,60,338,5,75,8,8,9,10,9,7,9,0.06
12042,10,-122.44778223886064,2,$85.00,90,365,5,64,6,6,10,9,9,8,9,0.08
12522,1,-122.43032405939661,1,$79.00,27,14,370,98,10,10,10,10,10,10,1,3.51
12584,2,-122.45454953525292,5,$146.00,800,315,14,93,8,9,9,9,9,9,2,0.19
14125,1,-122.42245501922534,3,$215.00,10,306,94,98,10,10,10,10,10,9,1,0.89
16551,1,-122.4145618452359,2,$65.00,270,191,7,95,10,8,9,9,8,10,1,0.08
17132,2,-122.39071696982846,4,$450.00,1124,341,14,96,10,10,10,10,10,9,1,0.15
18231,1,-122.42982374746443,3,$107.00,365,51,59,96,10,10,10,10,10,9,1,0.59
18904,3,-122.43215647138362,2,$110.00,29,49,334,97,10,10,10,10,10,10,2,4.06
19040,1,-122.41517400287555,2,$198.00,28,0,225,96,10,10,10,10,9,9,1,2.17
21334,1,-122.41533449205012,2,$150.00,14,47,112,98,10,9,10,10,10,10,1,1.1
21914,10,-122.45251322942761,2,$65.00,90,365,14,78,8,8,10,10,10,7,9,0.16
23540,1,-122.41983820914385,5,$225.00,30,5,98,97,10,10,10,10,10,9,1,0.95
23611,3,-122.41206808320703,2,$95.00,29,334,225,98,10,10,10,10,10,10,2,2.2
23630,1,-122.4414323272976,2,$155.00,14,271,329,97,10,10,10,10,10,10,1,3.28
23680,1,-122.4277324794233,2,$199.00,29,0,22,99,10,10,10,10,10,10,1,0.21
24450,1,-122.43672598325251,3,$199.00,28,97,200,91,9,9,10,10,10,9,1,1.96
24463,2,-122.39910232220872,2,$155.00,29,138,254,97,10,10,10,10,10,9,2,2.52
24685,1,-122.4383620129092,1,$79.00,1125,304,168,95,10,9,10,10,10,9,1,1.7
24723,3,-122.43386112927003,4,$195.00,31,137,255,95,10,10,10,10,10,10,2,2.49
25094,1,-122.43121541816402,2,$150.00,28,319,22,100,10,10,10,10,10,10,1,0.81
25463,3,-122.43421149153566,2,$110.00,29,42,375,98,10,10,10,10,10,10,2,3.91
25662,1,-122.39540903672585,3,$125.00,180,301,285,95,10,10,10,10,10,9,1,2.87
25927,3,-122.43030637005006,2,$110.00,364,344,61,91,9,9,10,9,10,9,3,0.79
26488,1,-122.39329438572472,2,$1000.00,1825,365,48,97,10,10,10,10,10,10,1,0.48
27025,1,-122.43136441227804,2,$175.00,1125,159,129,100,10,10,10,10,10,10,1,1.27
27028,2,-122.4215807919612,4,$199.00,29,3,24,96,10,10,10,10,10,9,2,0.59
32027,4,-122.43729222964022,5,$325.00,30,359,2,90,9,10,10,10,10,9,4,0.04
32414,1,-122.41259087293635,2,$150.00,30,236,93,96,10,10,10,10,9,9,1,0.94
32802,1,-122.4046102140624,2,$195.00,30,0,29,99,10,10,10,10,10,10,1,0.29
33577,4,-122.39750094268479,2,$230.00,14,318,589,99,10,10,10,10,10,10,4,6.49
33578,4,-122.39730470636793,2,$230.00,14,324,543,99,10,10,10,10,10,10,4,5.6
38607,3,-122.45809229686044,2,$119.00,21,37,184,96,10,10,10,10,10,10,3,1.86
39174,33,-122.4248849594586,2,$107.00,1125,365,20,96,9,10,10,10,10,9,23,0.23
39418,2,-122.42054856183594,2,$100.00,730,311,21,98,10,10,10,10,10,9,2,0.24
40092,6,-122.41969302856535,2,$131.00,365,217,95,92,9,9,10,10,9,9,2,0.98
41055,3,-122.43335472254522,3,$159.00,21,252,38,94,10,9,10,10,10,10,2,0.39
41172,1,-122.4176300810205,2,$129.00,30,320,206,98,10,10,10,10,10,10,1,2.11
41399,1,-122.41866188454807,4,$290.00,1125,237,69,96,10,10,10,10,9,9,1,0.97
41423,1,-122.43301594389571,3,$126.00,90,342,145,89,9,9,9,9,9,9,1,1.48
41609,1,-122.4129160022777,3,$170.00,730,228,13,98,10,10,10,10,10,10,1,0.14
42403,33,-122.41851323779981,2,$85.00,1125,282,6,93,10,10,10,10,10,10,23,0.07
42408,33,-122.41781290096887,2,$85.00,365,343,4,87,9,8,10,10,8,7,23,0.05
42454,1,-122.41325858403587,2,$93.00,90,125,9,89,9,8,10,10,10,9,1,0.11
42577,33,-122.38813183068281,4,$150.00,1125,357,2,80,5,8,10,8,7,8,23,0.04
43732,33,-122.44385363370671,2,$120.00,1125,365,5,88,9,9,10,10,8,8,23,0.07
43778,33,-122.44083686596025,3,$120.00,1125,365,8,56,8,7,8,7,7,7,23,0.08
44680,2,-122.4216450325051,4,$175.00,60,70,3,100,,,,,,,1,0.03
45299,3,-122.4333062776897,2,$116.00,30,17,110,94,9,9,10,10,10,9,2,1.12
45956,3,-122.43016127970861,2,$125.00,180,213,64,95,10,10,9,9,10,9,3,0.89
47486,1,-122.46861057405349,2,$78.00,365,261,28,97,10,10,10,10,9,10,1,0.29
47682,9,-122.42431221967043,2,$120.00,365,338,25,96,10,9,10,10,10,10,9,0.26
51073,2,-122.42199475971246,2,$180.00,13,0,144,99,10,10,10,10,10,10,2,1.5
51557,1,-122.42833896267528,3,$119.00,180,311,103,98,10,10,10,10,10,10,1,1.06
51773,9,-122.42599835412354,1,$55.00,730,358,158,92,10,9,10,10,10,9,9,1.77
52713,1,-122.4127171205569,1,$99.00,120,0,166,89,9,9,9,9,9,9,1,1.72
54518,1,-122.40079409170286,2,$240.00,365,206,16,88,10,9,9,10,10,10,1,0.18
54634,9,-122.42649785318217,2,$115.00,730,337,35,92,9,9,10,10,10,9,9,0.36
55632,4,-122.48618748703613,4,$130.00,365,294,10,94,10,10,10,10,9,10,3,0.11
55636,4,-122.44478571052342,4,$130.00,365,287,26,95,10,10,10,10,9,9,3,0.27
56200,1,-122.43956576202952,3,$132.00,365,245,266,98,10,10,10,10,10,10,1,2.77
56621,9,-122.42458175015634,1,$63.00,365,330,119,92,9,8,10,10,10,9,9,1.25
57479,1,-122.43922880779158,5,$450.00,360,359,152,99,10,10,10,10,10,10,1,1.59
57561,1,-122.41443017005629,2,$175.00,90,363,212,92,10,9,10,9,9,9,1,2.22
57676,4,-122.41932566984038,1,$99.00,180,334,97,95,10,9,10,10,10,9,4,1.08
59314,1,-122.41046863491385,2,$225.00,360,323,126,97,10,10,10,10,9,9,1,1.35
59344,1,-122.42864380484687,2,$135.00,60,256,272,98,10,10,10,10,10,10,1,2.88
59381,4,-122.41595794952552,4,$109.00,30,45,203,96,10,10,10,10,10,9,4,2.28
59702,1,-122.41408795198384,2,$150.00,120,315,181,98,10,10,10,10,10,10,1,2.06
59831,1,-122.4917779247513,2,$100.00,60,365,1,20,,,,2,,,1,0.01
62519,2,-122.42993120028235,1,$92.00,28,0,35,97,10,10,10,10,10,10,2,0.8
62651,1,-122.42432107362413,6,$1100.00,1125,352,49,96,10,10,10,10,10,9,1,0.56
63247,4,-122.4139751902205,2,$166.00,29,326,272,92,9,9,10,9,9,9,1,2.89
63405,4,-122.41770632143597,2,$125.00,180,330,196,94,9,9,10,10,10,9,4,2.17
64165,1,-122.4287406849882,2,$90.00,150,258,63,99,10,10,10,10,10,10,1,0.73
66119,1,-122.47812392128415,2,$100.00,300,335,95,83,9,9,10,9,9,8,1,1.1
66188,33,-122.50906016719797,6,$216.00,1125,312,12,96,9,10,10,10,9,9,23,0.14
68239,7,-122.42386605698998,2,$326.00,7300,365,35,99,10,10,10,10,10,9,1,0.39
69410,1,-122.46318942318709,2,$80.00,365,342,49,98,10,10,10,10,10,9,1,0.55
69549,41,-122.42644319164599,2,$46.00,1125,259,39,91,9,9,10,9,9,9,14,0.43
69553,41,-122.42478400335014,2,$44.00,1125,337,26,82,8,8,8,9,8,8,14,0.29
69681,33,-122.50923187258286,4,$170.00,1125,365,7,93,9,8,9,9,9,8,23,0.08
69685,33,-122.40436546321072,2,$100.00,730,342,2,80,8,6,10,9,10,8,23,0.02
70139,3,-122.42424032456833,3,$108.00,180,250,10,98,10,10,10,10,10,10,1,0.13
70284,20,-122.40634723482725,1,$30.00,365,259,12,92,9,8,9,9,9,9,20,0.14
70753,20,-122.40450489784357,1,$45.00,21,22,318,92,9,9,10,10,10,9,20,3.43
71645,1,-122.40841196868365,2,$109.00,25,135,91,98,10,10,10,10,10,10,1,2.97
71779,1,-122.46465687469065,2,$80.00,365,344,2,60,9,8,10,10,8,8,1,0.02
